United States,Jul 28 2020,4432069
United States,Jul 29 2020,4496863
United States,Jul 30 2020,4563676
United States,Jul 31 2020,4632390
United States,Aug  1 2020,4688936
United States,Aug  2 2020,4740422
United States,Aug  3 2020,4785862
United States,Aug  4 2020,4837739
United States,Aug  5 2020,4893852
United States,Aug  6 2020,4948682
United States,Aug  7 2020,5010909
United States,Aug  8 2020,5062543
United States,Aug  9 2020,5109149
United States,Aug 10 2020,5153403
United States,Aug 11 2020,5212463
United States,Aug 12 2020,5267656
United States,Aug 13 2020,5319742
United States,Aug 14 2020,5375877
United States,Aug 15 2020,5427579
United States,Aug 16 2020,5469580
United States,Aug 17 2020,5511440
United States,Aug 18 2020,5553124
United States,Aug 19 2020,5600246
United States,Aug 20 2020,5647037
United States,Aug 21 2020,5694896
United States,Aug 22 2020,5736660
United States,Aug 23 2020,5773777
United States,Aug 24 2020,5809997
United States,Aug 25 2020,5850781
United States,Aug 26 2020,5898067
United States,Aug 27 2020,5945171
United States,Aug 28 2020,5992202
United States,Aug 29 2020,6033250
United States,Aug 30 2020,6069951
United States,Aug 31 2020,6109163
United States,Sep  1 2020,6148216
United States,Sep  2 2020,6192335
United States,Sep  3 2020,6237751
United States,Sep  4 2020,6289132
United States,Sep  5 2020,6330790
United States,Sep  6 2020,6364475
United States,Sep  7 2020,6389532
United States,Sep  8 2020,6418172
United States,Sep  9 2020,6453516
United States,Sep 10 2020,6492385
United States,Sep 11 2020,6536792
United States,Sep 12 2020,6577070
United States,Sep 13 2020,6610045
United States,Sep 14 2020,6644694
United States,Sep 15 2020,6681881
United States,Sep 16 2020,6726715
United States,Sep 17 2020,6772167
United States,Sep 18 2020,6820267
United States,Sep 19 2020,6862798
United States,Sep 20 2020,6897061
United States,Sep 21 2020,6938789
United States,Sep 22 2020,6988827
United States,Sep 23 2020,7031547
United States,Sep 24 2020,7077928
United States,Sep 25 2020,7128098
United States,Sep 26 2020,7170991
United States,Sep 27 2020,7206303
United States,Sep 28 2020,7245504
United States,Sep 29 2020,7284469
United States,Sep 30 2020,7330547
United States,Oct  1 2020,7378017
United States,Oct  2 2020,7429231
United States,Oct  3 2020,7477213
United States,Oct  4 2020,7512856
United States,Oct  5 2020,7554538
United States,Oct  6 2020,7596521
United States,Oct  7 2020,7650824
United States,Oct  8 2020,7706560
United States,Oct  9 2020,7765763
United States,Oct 10 2020,7819718
United States,Oct 11 2020,7864523
United States,Oct 12 2020,7914535
United States,Oct 13 2020,7965102
United States,Oct 14 2020,8023198
United States,Oct 15 2020,8086418
United States,Oct 16 2020,8155913
United States,Oct 17 2020,8210574
United States,Oct 18 2020,8259648
United States,Oct 19 2020,8321727
United States,Oct 20 2020,8380828
United States,Oct 21 2020,8451123
United States,Oct 22 2020,8526189
United States,Oct 23 2020,8609148
United States,Oct 24 2020,8685638
United States,Oct 25 2020,8751686
United States,Oct 26 2020,8821532
United States,Oct 27 2020,8897590
United States,Oct 28 2020,8982696
United States,Oct 29 2020,9074287
United States,Oct 30 2020,9172362
United States,Oct 31 2020,9265727
United States,Nov  1 2020,9407485
United States,Nov  2 2020,9494945
United States,Nov  3 2020,9593878
United States,Nov  4 2020,9708982
United States,Nov  5 2020,9832815
United States,Nov  6 2020,9967198
United States,Nov  7 2020,10096760
United States,Nov  8 2020,10208677
United States,Nov  9 2020,10333885
United States,Nov 10 2020,10481581
United States,Nov 11 2020,10635822
United States,Nov 12 2020,10798963
United States,Nov 13 2020,10977053
United States,Nov 14 2020,11141439
United States,Nov 15 2020,11281102
United States,Nov 16 2020,11434184
United States,Nov 17 2020,11601823
United States,Nov 18 2020,11773718
United States,Nov 19 2020,11964411
United States,Nov 20 2020,12159129
United States,Nov 21 2020,12333520
United States,Nov 22 2020,12484670
United States,Nov 23 2020,12644706
United States,Nov 24 2020,12820394
United States,Nov 25 2020,13016356
United States,Nov 26 2020,13161174
United States,Nov 27 2020,13327077
United States,Nov 28 2020,13471694
United States,Nov 29 2020,13613041
United States,Nov 30 2020,13766000
United States,Dec  1 2020,13959030
United States,Dec  2 2020,14169586
United States,Dec  3 2020,14388179
United States,Dec  4 2020,14613891
United States,Dec  5 2020,14820747
United States,Dec  6 2020,14998339
United States,Dec  7 2020,15182009
United States,Dec  8 2020,15410153
United States,Dec  9 2020,15632403
United States,Dec 10 2020,15841773
United States,Dec 11 2020,16089490
United States,Dec 12 2020,16305884
United States,Dec 13 2020,16487905
United States,Dec 14 2020,16685876
United States,Dec 15 2020,16886680
United States,Dec 16 2020,17128559
United States,Dec 17 2020,17375255
United States,Dec 18 2020,17613211
United States,Dec 19 2020,17815738
United States,Dec 20 2020,18003344
United States,Dec 21 2020,18187293
United States,Dec 22 2020,18386438
United States,Dec 23 2020,18613581
United States,Dec 24 2020,18816242
United States,Dec 25 2020,18976075
United States,Dec 26 2020,19125985
United States,Dec 27 2020,19280726
United States,Dec 28 2020,19459442
United States,Dec 29 2020,19668452
United States,Dec 30 2020,19906761
United States,Dec 31 2020,20136750
United States,Jan  1 2021,20364548
United States,Jan  2 2021,20591387
United States,Jan  3 2021,20796472
United States,Jan  4 2021,20971804
United States,Jan  5 2021,21215454
United States,Jan  6 2021,21475554
United States,Jan  7 2021,21745082
United States,Jan  8 2021,22038849
United States,Jan  9 2021,22294629
United States,Jan 10 2021,22519471
United States,Jan 11 2021,22723862
United States,Jan 12 2021,22942078
United States,Jan 13 2021,23170500
United States,Jan 14 2021,23394097
United States,Jan 15 2021,23634233
United States,Jan 16 2021,23847868
United States,Jan 17 2021,24031892
United States,Jan 18 2021,24183358
United States,Jan 19 2021,24333968
United States,Jan 20 2021,24522562
United States,Jan 21 2021,24711143
United States,Jan 22 2021,24902341
United States,Jan 23 2021,25067476
United States,Jan 24 2021,25211861
United States,Jan 25 2021,25345902
United States,Jan 26 2021,25492769
United States,Jan 27 2021,25652465
United States,Jan 28 2021,25808673
United States,Jan 29 2021,25973442
United States,Jan 30 2021,26111160
United States,Jan 31 2021,26223637
United States,Feb  1 2021,26352434
United States,Feb  2 2021,26474574
United States,Feb  3 2021,26583410
United States,Feb  4 2021,26708940
United States,Feb  5 2021,26834112
United States,Feb  6 2021,26942895
United States,Feb  7 2021,27034784
United States,Feb  8 2021,27117104
United States,Feb  9 2021,27208674
United States,Feb 10 2021,27308023
United States,Feb 11 2021,27407431
United States,Feb 12 2021,27505324
United States,Feb 13 2021,27590141
United States,Feb 14 2021,27656834
United States,Feb 15 2021,27715108
United States,Feb 16 2021,27772648
United States,Feb 17 2021,27836678
United States,Feb 18 2021,27905274
United States,Feb 19 2021,27979049
United States,Feb 20 2021,28045100
United States,Feb 21 2021,28100958
United States,Feb 22 2021,28157211
United States,Feb 23 2021,28227752
United States,Feb 24 2021,28300606
United States,Feb 25 2021,28372516
United States,Feb 26 2021,28446222
United States,Feb 27 2021,28514191
United States,Feb 28 2021,28566312
United States,Mar  1 2021,28617491
United States,Mar  2 2021,28671987
United States,Mar  3 2021,28737967
United States,Mar  4 2021,28803485
United States,Mar  5 2021,28867743
United States,Mar  6 2021,28925401
United States,Mar  7 2021,28968920
United States,Mar  8 2021,29012219
United States,Mar  9 2021,29066120
United States,Mar 10 2021,29128264
United States,Mar 11 2021,29188487
United States,Mar 12 2021,29252802
United States,Mar 13 2021,29305181
United States,Mar 14 2021,29352673
United States,Mar 15 2021,29396323
United States,Mar 16 2021,29448310
United States,Mar 17 2021,29510192
United States,Mar 18 2021,29572996
United States,Mar 19 2021,29635415
