United States,Jun 23 2020,737,614,0
United States,Jun 24 2020,692,616,0
United States,Jun 25 2020,720,625,1824
United States,Jun 26 2020,706,620,0
United States,Jun 27 2020,576,620,0
United States,Jun 28 2020,438,623,0
United States,Jun 29 2020,474,620,0
United States,Jun 30 2020,640,606,0
United States,Jul  1 2020,782,619,0
United States,Jul  2 2020,705,617,0
United States,Jul  3 2020,812,632,0
United States,Jul  4 2020,543,627,0
United States,Jul  5 2020,455,630,0
United States,Jul  6 2020,627,652,0
United States,Jul  7 2020,923,692,0
United States,Jul  8 2020,1090,736,0
United States,Jul  9 2020,952,771,0
United States,Jul 10 2020,952,791,0
United States,Jul 11 2020,887,840,0
United States,Jul 12 2020,834,895,0
United States,Jul 13 2020,736,910,0
United States,Jul 14 2020,925,910,0
United States,Jul 15 2020,1127,916,0
United States,Jul 16 2020,1082,934,0
United States,Jul 17 2020,1091,954,0
United States,Jul 18 2020,995,970,0
United States,Jul 19 2020,934,984,0
United States,Jul 20 2020,880,1004,0
United States,Jul 21 2020,1185,1042,0
United States,Jul 22 2020,1195,1051,0
United States,Jul 23 2020,1261,1077,0
United States,Jul 24 2020,1338,1112,0
United States,Jul 25 2020,1142,1133,0
United States,Jul 26 2020,951,1136,0
United States,Jul 27 2020,953,1146,0
United States,Jul 28 2020,1185,1146,0
United States,Jul 29 2020,1168,1142,0
United States,Jul 30 2020,1421,1165,0
United States,Jul 31 2020,1389,1172,0
United States,Aug  1 2020,1125,1170,0
United States,Aug  2 2020,918,1165,0
United States,Aug  3 2020,890,1156,0
United States,Aug  4 2020,1089,1142,0
United States,Aug  5 2020,1266,1156,0
United States,Aug  6 2020,1204,1125,0
United States,Aug  7 2020,1318,1115,0
United States,Aug  8 2020,1043,1104,0
United States,Aug  9 2020,896,1100,0
United States,Aug 10 2020,823,1091,0
United States,Aug 11 2020,1097,1092,0
United States,Aug 12 2020,1341,1103,0
United States,Aug 13 2020,1202,1102,0
United States,Aug 14 2020,1065,1066,0
United States,Aug 15 2020,942,1052,0
United States,Aug 16 2020,890,1051,0
United States,Aug 17 2020,656,1027,0
United States,Aug 18 2020,942,1005,0
United States,Aug 19 2020,1280,996,0
United States,Aug 20 2020,995,967,0
United States,Aug 21 2020,1023,961,0
United States,Aug 22 2020,998,969,0
United States,Aug 23 2020,845,962,0
United States,Aug 24 2020,613,956,0
United States,Aug 25 2020,890,949,0
United States,Aug 26 2020,1065,918,0
United States,Aug 27 2020,960,913,0
United States,Aug 28 2020,1037,915,0
United States,Aug 29 2020,820,890,0
United States,Aug 30 2020,727,873,0
United States,Aug 31 2020,584,869,0
United States,Sep  1 2020,857,864,0
United States,Sep  2 2020,874,837,0
United States,Sep  3 2020,952,835,0
United States,Sep  4 2020,929,820,0
United States,Sep  5 2020,789,816,0
United States,Sep  6 2020,694,811,0
United States,Sep  7 2020,420,787,0
United States,Sep  8 2020,576,747,0
United States,Sep  9 2020,840,742,0
United States,Sep 10 2020,846,727,0
United States,Sep 11 2020,880,720,0
United States,Sep 12 2020,650,700,0
United States,Sep 13 2020,746,708,0
United States,Sep 14 2020,454,713,0
United States,Sep 15 2020,776,741,0
United States,Sep 16 2020,1107,779,0
United States,Sep 17 2020,732,763,0
United States,Sep 18 2020,823,755,0
United States,Sep 19 2020,658,756,0
United States,Sep 20 2020,472,717,0
United States,Sep 21 2020,580,735,0
United States,Sep 22 2020,659,718,0
United States,Sep 23 2020,907,690,0
United States,Sep 24 2020,747,692,0
United States,Sep 25 2020,769,684,0
United States,Sep 26 2020,672,686,0
United States,Sep 27 2020,502,690,0
United States,Sep 28 2020,422,668,0
United States,Sep 29 2020,804,689,0
United States,Sep 30 2020,689,657,0
United States,Oct  1 2020,752,658,0
United States,Oct  2 2020,912,679,0
United States,Oct  3 2020,544,660,0
United States,Oct  4 2020,606,675,0
United States,Oct  5 2020,529,690,0
United States,Oct  6 2020,641,667,0
United States,Oct  7 2020,805,684,0
United States,Oct  8 2020,733,681,0
United States,Oct  9 2020,790,664,0
United States,Oct 10 2020,675,682,0
United States,Oct 11 2020,579,678,0
United States,Oct 12 2020,508,675,0
United States,Oct 13 2020,655,677,0
United States,Oct 14 2020,829,681,0
United States,Oct 15 2020,715,678,0
United States,Oct 16 2020,879,691,0
United States,Oct 17 2020,689,693,0
United States,Oct 18 2020,746,717,0
United States,Oct 19 2020,621,733,0
United States,Oct 20 2020,801,754,0
United States,Oct 21 2020,1044,785,0
United States,Oct 22 2020,933,816,0
United States,Oct 23 2020,947,825,0
United States,Oct 24 2020,795,841,0
United States,Oct 25 2020,611,821,0
United States,Oct 26 2020,701,833,0
