United States,Jun 16 2020,673043,569310.43
United States,Jun 17 2020,706058,580325.29
United States,Jun 18 2020,702106,592773.14
United States,Jun 19 2020,704427,605300.86
United States,Jun 20 2020,584233,612798.14
United States,Jun 21 2020,421427,613978.86
United States,Jun 22 2020,548115,619915.57
United States,Jun 23 2020,700691,623865.29
United States,Jun 24 2020,767136,632590.71
United States,Jun 25 2020,771634,642523.29
United States,Jun 26 2020,810205,657634.43
United States,Jun 27 2020,693718,673275.14
United States,Jun 28 2020,566343,693977.43
United States,Jun 29 2020,665053,710682.86
United States,Jun 30 2020,856285,732910.57
United States,Jul  1 2020,884876,749730.57
United States,Jul  2 2020,858888,762195.43
United States,Jul  3 2020,801290,760921.86
United States,Jul  4 2020,620747,750497.43
United States,Jul  5 2020,527038,744882.43
United States,Jul  6 2020,725791,753559.29
United States,Jul  7 2020,903743,760339
United States,Jul  8 2020,981132,774089.86
United States,Jul  9 2020,1012224,795995
United States,Jul 10 2020,1016270,826706.43
United States,Jul 11 2020,840371,858081.29
United States,Jul 12 2020,697994,882503.57
United States,Jul 13 2020,868181,902845
United States,Jul 14 2020,1004051,917174.71
United States,Jul 15 2020,1035524,924945
United States,Jul 16 2020,1029264,927379.29
United States,Jul 17 2020,1047611,931856.57
United States,Jul 18 2020,912581,942172.29
United States,Jul 19 2020,718405,945088.14
United States,Jul 20 2020,907735,950738.71
United States,Jul 21 2020,1036608,955389.71
United States,Jul 22 2020,1109981,966026.43
United States,Jul 23 2020,1084239,973880
United States,Jul 24 2020,1074896,977777.86
United States,Jul 25 2020,882109,973424.71
United States,Jul 26 2020,677791,967622.71
United States,Jul 27 2020,797936,951937.14
United States,Jul 28 2020,968484,942205.14
United States,Jul 29 2020,1040788,932320.43
United States,Jul 30 2020,1038505,925787
United States,Jul 31 2020,990866,913782.71
United States,Aug  1 2020,792856,901032.29
United States,Aug  2 2020,624456,893413
United States,Aug  3 2020,777248,890457.57
United States,Aug  4 2020,884081,878400
United States,Aug  5 2020,965811,867689
United States,Aug  6 2020,990897,860887.86
United States,Aug  7 2020,1015857,864458
United States,Aug  8 2020,815770,867731.43
United States,Aug  9 2020,626710,868053.43
United States,Aug 10 2020,785203,869189.86
United States,Aug 11 2020,909489,872819.57
United States,Aug 12 2020,1028518,881777.71
United States,Aug 13 2020,980413,880280
United States,Aug 14 2020,961668,872538.71
United States,Aug 15 2020,767826,865689.57
United States,Aug 16 2020,572788,857986.43
United States,Aug 17 2020,677043,842535
United States,Aug 18 2020,895706,840566
United States,Aug 19 2020,1005166,837230
United States,Aug 20 2020,996742,839562.71
United States,Aug 21 2020,965599,840124.29
United States,Aug 22 2020,794369,843916.14
United States,Aug 23 2020,561913,842362.57
United States,Aug 24 2020,666974,840924.14
United States,Aug 25 2020,906092,842407.86
United States,Aug 26 2020,1018064,844250.43
United States,Aug 27 2020,1020881,847698.86
United States,Aug 28 2020,987417,850815.71
United States,Aug 29 2020,798559,851414.29
United States,Aug 30 2020,614851,858976.86
United States,Aug 31 2020,661848,858244.57
United States,Sep  1 2020,907963,858511.86
United States,Sep  2 2020,1027577,859870.86
United States,Sep  3 2020,1033066,861611.57
United States,Sep  4 2020,999756,863374.29
United States,Sep  5 2020,816642,865957.57
United States,Sep  6 2020,565884,858962.29
United States,Sep  7 2020,414842,823675.71
United States,Sep  8 2020,664304,788867.29
United States,Sep  9 2020,959350,779120.57
United States,Sep 10 2020,1088297,787010.71
United States,Sep 11 2020,1100721,801434.29
United States,Sep 12 2020,865932,808475.71
United States,Sep 13 2020,627999,817349.29
United States,Sep 14 2020,708792,859342.14
United States,Sep 15 2020,967780,902695.86
United States,Sep 16 2020,1139830,928478.71
United States,Sep 17 2020,1158267,938474.43
United States,Sep 18 2020,1229701,956900.14
United States,Sep 19 2020,938903,967324.57
United States,Sep 20 2020,624313,966798
United States,Sep 21 2020,750626,972774.29
United States,Sep 22 2020,1030035,981667.86
United States,Sep 23 2020,1205143,990998.29
United States,Sep 24 2020,1202753,997353.43
United States,Sep 25 2020,1129929,983100.29
United States,Sep 26 2020,939155,983136.29
United States,Sep 27 2020,597563,979314.86
United States,Sep 28 2020,668121,967528.43
United States,Sep 29 2020,984834,961071.14
United States,Sep 30 2020,1201212,960509.57
United States,Oct  1 2020,1224752,963652.29
United States,Oct  2 2020,1192150,972541
United States,Oct  3 2020,976314,977849.43
United States,Oct  4 2020,641228,984087.29
United States,Oct  5 2020,807610,1004014.29
United States,Oct  6 2020,1227854,1038731.43
United States,Oct  7 2020,1412910,1068974
United States,Oct  8 2020,1431702,1098538.29
United States,Oct  9 2020,1401217,1128405
United States,Oct 10 2020,1104176,1146671
United States,Oct 11 2020,747922,1161913
United States,Oct 12 2020,809633,1162202
United States,Oct 13 2020,1065395,1138993.57
United States,Oct 14 2020,1230039,1112869.14
United States,Oct 15 2020,1304648,1094718.57
United States,Oct 16 2020,1330240,1084579
United States,Oct 17 2020,1117185,1086437.43
United States,Oct 18 2020,770809,1089707
United States,Oct 19 2020,875920,1099176.57
United States,Oct 20 2020,1278167,1129572.57
United States,Oct 21 2020,1480363,1165333.14
United States,Oct 22 2020,1533127,1197973
United States,Oct 23 2020,1466063,1217376.29
United States,Oct 24 2020,1179984,1226347.57
United States,Oct 25 2020,793812,1229633.71
United States,Oct 26 2020,955043,1240937
United States,Oct 27 2020,1340540,1249847.43
United States,Oct 28 2020,1504216,1253255
United States,Oct 29 2020,1486334,1246570.29
United States,Oct 30 2020,1501984,1251701.86
United States,Oct 31 2020,1220364,1257470.43
United States,Nov  1 2020,899698,1272597
United States,Nov  2 2020,1016902,1281434
United States,Nov  3 2020,1364848,1284906.57
United States,Nov  4 2020,1632713,1303263.29
United States,Nov  5 2020,1696403,1333273.14
United States,Nov  6 2020,1677676,1358372
United States,Nov  7 2020,1455873,1392016.14
United States,Nov  8 2020,1011197,1407944.57
United States,Nov  9 2020,1224222,1437561.71
United States,Nov 10 2020,1539014,1462442.57
United States,Nov 11 2020,1791512,1485128.14
United States,Nov 12 2020,1853962,1507636.57
United States,Nov 13 2020,1904687,1540066.71
United States,Nov 14 2020,1598451,1560435
United States,Nov 15 2020,1197190,1587005.43
United States,Nov 16 2020,1492431,1625321
United States,Nov 17 2020,1905398,1677661.57
United States,Nov 18 2020,2099229,1721621.14
United States,Nov 19 2020,2076479,1753409.29
United States,Nov 20 2020,2150377,1788507.86
United States,Nov 21 2020,1856705,1825401.29
United States,Nov 22 2020,1422394,1857573.29
United States,Nov 23 2020,1673534,1883445.14
United States,Nov 24 2020,1971847,1892937.86
United States,Nov 25 2020,2225613,1910992.71
United States,Nov 26 2020,1506623,1829584.71
United States,Nov 27 2020,1512753,1738495.57
United States,Nov 28 2020,1348433,1665885.29
United States,Nov 29 2020,1151827,1627232.86
United States,Nov 30 2020,1465731,1597546.71
United States,Dec  1 2020,1843725,1579243.57
United States,Dec  2 2020,2098686,1561111.14
United States,Dec  3 2020,2147798,1652707.57
United States,Dec  4 2020,2118469,1739238.43
United States,Dec  5 2020,1691524,1788251.43
United States,Dec  6 2020,1292797,1808390
United States,Dec  7 2020,1540475,1819067.71
United States,Dec  8 2020,1915594,1829334.71
United States,Dec  9 2020,2124358,1833002.14
United States,Dec 10 2020,2182203,1837917.14
United States,Dec 11 2020,2056764,1829102.14
United States,Dec 12 2020,1722405,1833513.71
United States,Dec 13 2020,1249621,1827345.71
United States,Dec 14 2020,1494749,1820813.43
United States,Dec 15 2020,1946740,1825262.86
United States,Dec 16 2020,2077257,1818534.14
United States,Dec 17 2020,2053870,1800200.86
United States,Dec 18 2020,2022392,1795290.57
United States,Dec 19 2020,1711353,1793711.71
United States,Dec 20 2020,1276969,1797618.57
United States,Dec 21 2020,1529652,1802604.71
United States,Dec 22 2020,1988926,1808631.29
